submission_id,reporting_period,organisation_id,site_id,nation,packaging_material,packaging_class,activity,weight_tonnes,submission_date
REC-0001-2024Q2-SITE-B-PL02,2024-Q2,ORG-12345,SITE-B,Scotland,Plastic,Primary,Exported,1.4114000000000002,2024-10-20
REC-0002-Q2 2024-SITE-B-PL02,2024-Q2,ORG-12345,SITE-B,Scotland,Plastic,Shipment,Imported,0.20732,2024-11-18
REC-0003-Q4 2024-SITE-B-PL01,,ORG-12345,SITE-B,Scotland,Plastic,Primary,Supplied as goods,3594.3,2024-06-05
REC-0004-Q2 2024-SITE-C-PL01,2024-Q2,ORG-12345,SITE-C,Wales,Plastic,Tertiary,Supplied as goods,3505.79,2024-07-05
REC-0005-2024-Q3-SITE-E-PL02,2024-Q3,ORG-12345,SITE-E,England,Plastic,Primary,Imported,0.52875,2024-09-06
REC-0006-2024-Q3-SITE-E-OT01,2024-Q3,ORG-12345,SITE-E,England,Other,Primary,Imported,440.06,2024-04-22
REC-0007-Q2 2024-SITE-A-PL02,2024-Q2,ORG-12345,SITE-A,England,Plastic,Primary,Exported,1178.1,2024-03-15
REC-0008-2024-Q3-SITE-C-ST01,2024-Q3,ORG-12345,SITE-C,Wales,Steel,Secondary,Exported,4.178850000000001,2024-12-23
REC-0009-Q2 2024-SITE-E-ST01,2024-Q2,ORG-12345,SITE-E,England,Steel,Tertiary,Exported,3.2577800000000003,2024-09-07
REC-0010-2024-Q1-SITE-C-FB01,2024-Q1,ORG-12345,SITE-C,Wales,Fibre-based composite,Secondary,Exported,3.4564000000000004,2024-01-31
REC-0011-Q4 2024-SITE-B-PC01,,ORG-12345,SITE-B,Scotland,Paper/card,Secondary,Imported,377.63,2024-12-09
REC-0012-Q4 2024-SITE-E-WD01,,ORG-12345,SITE-E,England,Wood,Primary,Imported,741.17,2024-08-06
REC-0013-2024-Q1-SITE-A-PC01,2024-Q1,ORG-12345,SITE-A,England,Paper/card,Primary,Supplied as goods,,2024-12-01
REC-0014-Q4 2024-SITE-D-GL01,,ORG-12345,SITE-D,Northern Ireland,Glass,Tertiary,Exported,2.1396900000000003,2024-09-10
REC-0015-2024-Q3-SITE-A-UNKNOWN,2024-Q3,ORG-12345,SITE-A,England,,Secondary,Exported,4.31086,2024-07-07
REC-0016-Q2 2024-SITE-C-PL02,2024-Q2,ORG-12345,SITE-C,Wales,Plastic,Secondary,Imported,0.8328800000000001,2024-03-09
REC-0017-2024-Q3-SITE-Z-ST01,2024-Q3,ORG-12345,SITE-Z,,Steel,Tertiary,Exported,2.5629299999999997,2024-10-17
REC-0018-2024-Q3-SITE-A-OT01,2024-Q3,ORG-12345,SITE-A,England,Other,Primary,Exported,1.6545699999999999,2024-05-16
REC-0019-2024-Q1-SITE-D-PL01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Plastic,Primary,Exported,4.7374,2024-03-19
REC-0020-Q4 2024-SITE-C-GL01,,ORG-12345,SITE-C,Wales,Glass,Tertiary,Imported,4.7368999999999994,2024-10-17
REC-0021-Q4 2024-SITE-D-AL01,,ORG-12345,SITE-D,Northern Ireland,Aluminium,Tertiary,Imported,2025.01,2024-05-20
REC-0022-Q2 2024-SITE-E-AL01,2024-Q2,ORG-12345,SITE-E,England,Aluminium,Primary,Imported,0.15412,2024-02-20
REC-0023-Q2 2024-SITE-A-PL01,2024-Q2,ORG-12345,SITE-A,England,Plastic,Primary,Supplied as goods,4531.83,2024-12-22
REC-0024-Q4 2024-SITE-B-WD01,,ORG-12345,SITE-B,Scotland,Wood,Primary,Exported,704.94,2024-04-21
REC-0025-Q4 2024-SITE-D-PL02,,ORG-12345,SITE-D,Northern Ireland,Plastic,Primary,Exported,2183.7,2024-02-11
REC-0026-Q2 2024-SITE-B-PL02,2024-Q2,ORG-12345,SITE-B,Scotland,Plastic,Primary,Imported,3.65466,2024-10-15
REC-0027-2024-Q1-SITE-B-WD01,2024-Q1,ORG-12345,SITE-B,Scotland,Wood,Primary,Imported,958.27,2024-10-22
REC-0028-Q2 2024-SITE-A-PL02,2024-Q2,ORG-12345,SITE-A,England,Plastic,Primary,Exported,4.99645,2024-08-10
REC-0029-Q4 2024-SITE-B-WD01,,ORG-12345,SITE-B,Scotland,Wood,Secondary,Supplied as goods,4.33002,2024-08-01
REC-0030-Q2 2024-SITE-B-ST01,2024-Q2,ORG-12345,SITE-B,Scotland,Steel,Tertiary,Imported,1461.98,2024-05-05
REC-0031-2024-Q1-SITE-A-PL01,2024-Q1,ORG-12345,SITE-A,England,Plastic,Shipment,Exported,2733.87,2024-09-15
REC-0032-2024-Q1-SITE-B-OT01,2024-Q1,ORG-12345,SITE-B,Scotland,Other,Tertiary,Exported,0.82929,2024-02-18
REC-0033-2024-Q1-SITE-E-AL01,2024-Q1,ORG-12345,SITE-E,England,Aluminium,Secondary,Supplied as goods,4.7109,2024-02-25
REC-0034-Q2 2024-SITE-C-FB01,2024-Q2,ORG-12345,SITE-C,Wales,Fibre-based composite,Tertiary,Exported,2847.87,2024-06-23
REC-0035-2024-Q3-SITE-D-AL01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Aluminium,Secondary,Imported,697.85,2024-01-19
REC-0036-Q2 2024-SITE-E-WD01,2024-Q2,ORG-12345,SITE-E,England,Wood,Shipment,Exported,4.98068,2024-05-29
REC-0037-Q2 2024-SITE-C-GL01,2024-Q2,ORG-12345,SITE-C,Wales,Glass,Secondary,Supplied as goods,4402.39,2024-10-19
REC-0038-Q2 2024-SITE-A-ST01,2024-Q2,ORG-12345,SITE-A,England,Steel,Shipment,Exported,2668.26,2024-03-14
REC-0039-Q2 2024-SITE-E-PL02,2024-Q2,ORG-12345,SITE-E,England,Plastic,Tertiary,Exported,819.47,2024-07-08
REC-0040-2024-Q1-SITE-C-AL01,2024-Q1,ORG-12345,SITE-C,Wales,Aluminium,Tertiary,Exported,4271.92,2024-12-04
REC-0041-2024-Q3-SITE-B-FB01,2024-Q3,ORG-12345,SITE-B,Scotland,Fibre-based composite,Tertiary,Imported,268.23,2024-08-28
REC-0042-Q2 2024-SITE-A-OT01,2024-Q2,ORG-12345,SITE-A,England,Other,Tertiary,Imported,2.8264899999999997,2024-02-02
REC-0043-2024-Q3-SITE-A-PC01,2024-Q3,ORG-12345,SITE-A,England,Paper/card,Shipment,Exported,0.78306,2024-02-04
REC-0044-Q4 2024-SITE-C-PC01,,ORG-12345,SITE-C,Wales,Paper/card,Primary,Exported,1.2851700000000001,2024-04-03
REC-0045-2024-Q1-SITE-D-AL01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Aluminium,Tertiary,Supplied as goods,4.88222,2024-07-03
REC-0046-Q2 2024-SITE-C-FB01,2024-Q2,ORG-12345,SITE-C,Wales,Fibre-based composite,Tertiary,Exported,4.32712,2024-03-10
REC-0047-Q4 2024-SITE-B-FB01,,ORG-12345,SITE-B,Scotland,Fibre-based composite,Tertiary,Supplied as goods,4.30004,2024-06-19
REC-0048-2024-Q3-SITE-C-AL01,2024-Q3,ORG-12345,SITE-C,Wales,Aluminium,Primary,Supplied as goods,3317.16,2024-06-05
REC-0049-2024-Q1-SITE-A-PC01,2024-Q1,ORG-12345,SITE-A,England,Paper/card,Tertiary,Exported,2028.41,2024-04-15
REC-0050-Q4 2024-SITE-C-ST01,,ORG-12345,SITE-C,Wales,Steel,Primary,Supplied as goods,3003.03,2024-10-02
REC-0051-2024-Q1-SITE-D-PL02,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Plastic,Secondary,Exported,0.99089,2024-10-16
REC-0052-2024-Q3-SITE-E-AL01,2024-Q3,ORG-12345,SITE-E,England,Aluminium,Secondary,Imported,396.37,2024-03-18
REC-0053-2024-Q3-SITE-D-ST01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Steel,Shipment,Imported,3351.12,2024-03-20
REC-0054-2024-Q3-SITE-E-AL01,2024-Q3,ORG-12345,SITE-E,England,Aluminium,Secondary,Exported,4.7048000000000005,2024-10-21
REC-0055-Q4 2024-SITE-D-PL01,,ORG-12345,SITE-D,Northern Ireland,Plastic,Secondary,Imported,1090.4,2024-12-25
REC-0056-2024-Q3-SITE-A-AL01,2024-Q3,ORG-12345,SITE-A,England,Aluminium,Shipment,Imported,3.97899,2024-12-19
REC-0057-Q2 2024-SITE-B-PC01,2024-Q2,ORG-12345,SITE-B,Scotland,Paper/card,Primary,Supplied as goods,3.3803400000000003,2024-02-07
REC-0058-Q4 2024-SITE-D-AL01,,ORG-12345,SITE-D,Northern Ireland,Aluminium,Secondary,Exported,4.2562,2024-11-04
