packaging_material,submission_id,reporting_period,organisation_id,site_id,nation,packaging_class,activity,weight_tonnes,submission_date
Plastic,REC-0001-2024Q2-SITE-B-PL02,2024-Q2,ORG-12345,SITE-B,Scotland,Primary,Exported,,2024-10-20
Plastic,REC-0002-Q2 2024-SITE-B-PL02,2024-Q2,ORG-12345,SITE-B,Scotland,Shipment,Imported,,2024-11-18
Plastic,REC-0003-Q4 2024-SITE-B-PL01,,ORG-12345,SITE-B,Scotland,Primary,Supplied as goods,,2024-06-05
Plastic,REC-0004-Q2 2024-SITE-C-PL01,2024-Q2,ORG-12345,SITE-C,Wales,Tertiary,Supplied as goods,,2024-07-05
Plastic,REC-0005-2024-Q3-SITE-E-PL02,2024-Q3,ORG-12345,SITE-E,England,Primary,Imported,,2024-09-06
Other,REC-0006-2024-Q3-SITE-E-OT01,2024-Q3,ORG-12345,SITE-E,England,Primary,Imported,,2024-04-22
Plastic,REC-0007-Q2 2024-SITE-A-PL02,2024-Q2,ORG-12345,SITE-A,England,Primary,Exported,,2024-03-15
Steel,REC-0008-2024-Q3-SITE-C-ST01,2024-Q3,ORG-12345,SITE-C,Wales,Secondary,Exported,,2024-12-23
Steel,REC-0009-Q2 2024-SITE-E-ST01,2024-Q2,ORG-12345,SITE-E,England,Tertiary,Exported,,2024-09-07
Fibre-based composite,REC-0010-2024-Q1-SITE-C-FB01,2024-Q1,ORG-12345,SITE-C,Wales,Secondary,Exported,,2024-01-31
Paper/card,REC-0011-Q4 2024-SITE-B-PC01,,ORG-12345,SITE-B,Scotland,Secondary,Imported,,2024-12-09
Wood,REC-0012-Q4 2024-SITE-E-WD01,,ORG-12345,SITE-E,England,Primary,Imported,,2024-08-06
Paper/card,REC-0013-2024-Q1-SITE-A-PC01,2024-Q1,ORG-12345,SITE-A,England,Primary,Supplied as goods,,2024-12-01
Glass,REC-0014-Q4 2024-SITE-D-GL01,,ORG-12345,SITE-D,Northern Ireland,Tertiary,Exported,,2024-09-10
,REC-0015-2024-Q3-SITE-A-UNKNOWN,2024-Q3,ORG-12345,SITE-A,England,Secondary,Exported,,2024-07-07
Plastic,REC-0016-Q2 2024-SITE-C-PL02,2024-Q2,ORG-12345,SITE-C,Wales,Secondary,Imported,,2024-03-09
Steel,REC-0017-2024-Q3-SITE-Z-ST01,2024-Q3,ORG-12345,SITE-Z,,Tertiary,Exported,,2024-10-17
Other,REC-0018-2024-Q3-SITE-A-OT01,2024-Q3,ORG-12345,SITE-A,England,Primary,Exported,,2024-05-16
Plastic,REC-0019-2024-Q1-SITE-D-PL01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Primary,Exported,,2024-03-19
Glass,REC-0020-Q4 2024-SITE-C-GL01,,ORG-12345,SITE-C,Wales,Tertiary,Imported,,2024-10-17
Aluminium,REC-0021-Q4 2024-SITE-D-AL01,,ORG-12345,SITE-D,Northern Ireland,Tertiary,Imported,,2024-05-20
Aluminium,REC-0022-Q2 2024-SITE-E-AL01,2024-Q2,ORG-12345,SITE-E,England,Primary,Imported,,2024-02-20
Plastic,REC-0023-Q2 2024-SITE-A-PL01,2024-Q2,ORG-12345,SITE-A,England,Primary,Supplied as goods,,2024-12-22
Wood,REC-0024-Q4 2024-SITE-B-WD01,,ORG-12345,SITE-B,Scotland,Primary,Exported,,2024-04-21
Plastic,REC-0025-Q4 2024-SITE-D-PL02,,ORG-12345,SITE-D,Northern Ireland,Primary,Exported,,2024-02-11
Plastic,REC-0026-Q2 2024-SITE-B-PL02,2024-Q2,ORG-12345,SITE-B,Scotland,Primary,Imported,,2024-10-15
Wood,REC-0027-2024-Q1-SITE-B-WD01,2024-Q1,ORG-12345,SITE-B,Scotland,Primary,Imported,,2024-10-22
Plastic,REC-0028-Q2 2024-SITE-A-PL02,2024-Q2,ORG-12345,SITE-A,England,Primary,Exported,,2024-08-10
Wood,REC-0029-Q4 2024-SITE-B-WD01,,ORG-12345,SITE-B,Scotland,Secondary,Supplied as goods,,2024-08-01
Steel,REC-0030-Q2 2024-SITE-B-ST01,2024-Q2,ORG-12345,SITE-B,Scotland,Tertiary,Imported,,2024-05-05
Plastic,REC-0031-2024-Q1-SITE-A-PL01,2024-Q1,ORG-12345,SITE-A,England,Shipment,Exported,,2024-09-15
Other,REC-0032-2024-Q1-SITE-B-OT01,2024-Q1,ORG-12345,SITE-B,Scotland,Tertiary,Exported,,2024-02-18
Aluminium,REC-0033-2024-Q1-SITE-E-AL01,2024-Q1,ORG-12345,SITE-E,England,Secondary,Supplied as goods,,2024-02-25
Fibre-based composite,REC-0034-Q2 2024-SITE-C-FB01,2024-Q2,ORG-12345,SITE-C,Wales,Tertiary,Exported,,2024-06-23
Aluminium,REC-0035-2024-Q3-SITE-D-AL01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Secondary,Imported,,2024-01-19
Wood,REC-0036-Q2 2024-SITE-E-WD01,2024-Q2,ORG-12345,SITE-E,England,Shipment,Exported,,2024-05-29
Glass,REC-0037-Q2 2024-SITE-C-GL01,2024-Q2,ORG-12345,SITE-C,Wales,Secondary,Supplied as goods,,2024-10-19
